datetime_utc,PRECTOTCORR,RH2M,T2M,WS2M
2024011711,0.0,84.13,8.62,3.79
2024011712,0.0,83.0,8.1,3.71
2024011713,0.0,70.16,8.92,4.24
2024011714,0.0,59.57,10.46,4.38
2024011715,0.0,54.46,12.14,4.29
2024011716,0.0,48.66,13.89,4.16
2024011717,0.0,46.47,15.23,3.93
2024011718,0.0,45.52,16.25,3.75
2024011719,0.0,45.32,16.79,3.61
2024011720,0.0,47.77,16.63,3.47
2024011721,0.0,52.77,15.55,3.18
2024011722,0.0,65.23,13.5,2.26
2024011723,0.0,71.21,12.24,2.55
2024011800,0.0,75.26,11.58,2.95
2024011801,0.0,79.37,11.04,3.04
2024011802,0.0,82.76,10.71,2.88
2024011803,0.01,85.3,10.57,2.76
2024011804,0.04,87.1,10.56,2.71
2024011805,0.13,88.26,10.66,2.53
2024011806,0.28,88.68,11.05,2.11
2024011807,0.39,89.22,11.87,1.49
2024011808,0.44,90.68,12.64,1.21
2024011809,0.36,92.36,13.33,1.17
2024011810,0.29,93.94,13.89,1.18
2024011811,0.25,95.51,14.26,1.16
2024011812,0.29,95.41,14.99,1.19
2024011813,0.15,87.33,17.81,2.31
2024011814,0.1,81.85,20.02,2.74
2024011815,0.16,74.18,22.37,2.97
2024011816,0.47,71.12,23.72,2.88
2024011817,1.53,70.98,24.51,2.75
2024011818,3.24,72.29,24.94,2.57
2024011819,4.72,73.93,25.15,2.38
2024011820,5.6,76.54,25.01,2.15
2024011821,7.94,82.44,24.15,1.79
2024011822,11.71,92.8,21.95,1.17
2024011823,13.83,96.57,20.71,1.55
2024011900,9.34,97.21,20.04,2.21
2024011901,3.63,97.15,19.12,2.17
2024011902,0.83,96.7,18.31,2.03
2024011903,0.31,96.22,17.67,1.91
2024011904,0.13,96.02,17.14,1.68
2024011905,0.1,96.02,16.67,1.68
2024011906,0.11,95.65,16.28,1.71
2024011907,0.24,95.26,15.98,1.62
2024011908,0.57,94.84,15.74,1.48
2024011909,0.43,94.49,15.6,1.19
2024011910,0.68,94.91,15.44,0.75
2024011911,1.4,94.64,15.49,0.64
2024011912,1.46,93.39,15.87,0.6
2024011913,1.77,89.02,16.82,0.41
2024011914,2.03,87.87,17.97,0.51
2024011915,2.73,85.63,19.5,0.97
2024011916,3.38,83.58,21.0,1.6
