iter	Passed	Remaining
1164	5924	19503
1165	5929	19498
1166	5935	19494
1167	5940	19488
1168	5945	19483
1169	5949	19477
1170	5954	19470
1171	5958	19463
1172	5964	19458
1173	5968	19451
1174	5973	19444
1175	5994	19493
1176	5999	19487
1177	6004	19480
1178	6009	19475
1179	6013	19468
1180	6018	19462
1181	6023	19456
1182	6028	19450
1183	6032	19443
1184	6037	19437
1185	6042	19433
1186	6047	19427
1187	6052	19420
1188	6057	19415
1189	6062	19409
1190	6067	19403
1191	6071	19397
1192	6076	19391
1193	6081	19386
1194	6086	19380
1195	6091	19375
1196	6096	19369
1197	6101	19362
1198	6106	19357
1199	6111	19352
1200	6115	19345
1201	6120	19339
1202	6125	19332
1203	6129	19326
1204	6134	19319
1205	6139	19315
1206	6144	19309
1207	6149	19302
1208	6154	19297
1209	6159	19292
1210	6163	19285
1211	6168	19278
1212	6174	19275
1213	6179	19270
1214	6184	19265
1215	6189	19261
1216	6194	19255
1217	6198	19248
1218	6204	19244
1219	6209	19237
1220	6213	19231
1221	6219	19227
1222	6223	19221
1223	6228	19214
1224	6233	19208
1225	6238	19203
1226	6242	19196
1227	6247	19189
1228	6252	19184
1229	6257	19178
1230	6261	19171
1231	6266	19165
1232	6271	19160
1233	6276	19154
1234	6280	19148
1235	6286	19143
1236	6290	19137
1237	6296	19132
1238	6301	19128
1239	6306	19123
1240	6312	19119
1241	6318	19117
1242	6322	19110
1243	6327	19104
1244	6333	19101
1245	6338	19095
1246	6343	19090
1247	6348	19085
1248	6352	19079
1249	6357	19072
1250	6362	19067
1251	6367	19061
1252	6372	19056
1253	6376	19049
1254	6381	19043
1255	6386	19036
1256	6390	19030
1257	6395	19024
1258	6400	19018
1259	6405	19011
1260	6409	19005
1261	6415	19001
1262	6419	18995
1263	6424	18989
1264	6430	18985
1265	6434	18979
1266	6439	18972
1267	6444	18967
1268	6449	18963
1269	6454	18956
1270	6459	18950
1271	6464	18946
1272	6469	18940
1273	6473	18933
1274	6479	18930
1275	6483	18923
1276	6488	18916
1277	6493	18911
1278	6498	18906
1279	6503	18899
1280	6508	18894
1281	6513	18889
1282	6517	18882
1283	6522	18877
1284	6527	18871
1285	6532	18865
1286	6537	18859
1287	6542	18854
1288	6547	18848
1289	6552	18843
1290	6556	18837
1291	6561	18832
1292	6566	18826
1293	6571	18821
1294	6577	18817
1295	6582	18812
1296	6586	18805
1297	6592	18801
1298	6597	18795
1299	6601	18789
1300	6606	18784
1301	6611	18778
1302	6616	18772
1303	6620	18765
1304	6625	18760
1305	6630	18754
1306	6634	18747
1307	6640	18742
1308	6644	18736
1309	6649	18729
1310	6653	18723
1311	6659	18718
1312	6663	18712
1313	6668	18705
1314	6673	18701
1315	6678	18694
1316	6682	18688
1317	6688	18684
1318	6692	18678
1319	6697	18671
1320	6701	18664
1321	6706	18659
1322	6711	18653
1323	6716	18647
1324	6722	18646
1325	6728	18642
1326	6733	18638
1327	6739	18634
1328	6743	18627
1329	6748	18621
1330	6753	18616
1331	6758	18610
1332	6763	18604
1333	6768	18601
1334	6773	18595
1335	6778	18590
1336	6783	18585
1337	6788	18579
1338	6792	18572
1339	6797	18567
1340	6802	18562
1341	6807	18556
1342	6812	18550
1343	6817	18545
1344	6822	18539
1345	6827	18533
1346	6831	18527
1347	6836	18522
1348	6841	18516
1349	6846	18510
1350	6851	18505
1351	6856	18499
1352	6860	18493
1353	6865	18488
1354	6870	18482
1355	6875	18476
1356	6880	18470
1357	6885	18464
1358	6889	18458
1359	6894	18452
1360	6899	18446
1361	6904	18441
1362	6908	18435
1363	6914	18431
1364	6918	18424
1365	6923	18418
1366	6927	18412
1367	6933	18407
1368	6937	18401
1369	6942	18394
1370	6947	18390
1371	6952	18384
1372	6957	18378
1373	6962	18373
1374	6967	18368
1375	6971	18362
1376	6976	18356
1377	6981	18351
1378	6986	18345
1379	6991	18340
1380	6996	18336
1381	7001	18330
1382	7006	18324
1383	7011	18320
1384	7017	18316
1385	7022	18310
1386	7027	18306
1387	7032	18301
1388	7038	18298
1389	7043	18293
1390	7048	18287
1391	7053	18281
1392	7057	18275
1393	7062	18269
1394	7067	18264
1395	7072	18257
1396	7077	18253
1397	7082	18247
1398	7086	18241
1399	7091	18236
1400	7096	18230
1401	7100	18223
1402	7105	18217
1403	7110	18211
1404	7115	18205
1405	7119	18199
1406	7124	18194
1407	7129	18188
1408	7134	18181
1409	7138	18175
1410	7143	18170
1411	7148	18164
1412	7152	18158
1413	7158	18153
1414	7162	18147
1415	7167	18141
1416	7173	18138
1417	7177	18132
1418	7182	18126
1419	7187	18120
1420	7192	18115
1421	7196	18108
1422	7201	18103
1423	7207	18098
1424	7211	18092
1425	7216	18085
1426	7221	18081
1427	7225	18075
1428	7230	18068
1429	7235	18063
1430	7240	18057
1431	7244	18051
1432	7249	18045
1433	7254	18041
1434	7259	18034
1435	7264	18029
1436	7269	18024
1437	7274	18018
1438	7278	18012
1439	7283	18006
1440	7288	18001
1441	7293	17996
1442	7305	18007
1443	7315	18014
1444	7325	18021
1445	7335	18030
1446	7344	18035
1447	7353	18039
1448	7359	18034
1449	7364	18029
1450	7370	18026
1451	7377	18027
1452	7386	18031
1453	7391	18025
1454	7395	18018
1455	7400	18014
1456	7405	18008
1457	7409	18001
1458	7414	17996
1459	7419	17990
1460	7424	17984
1461	7429	17978
1462	7434	17974
1463	7439	17968
1464	7444	17962
1465	7449	17958
1466	7454	17952
1467	7458	17946
1468	7464	17942
1469	7469	17936
1470	7473	17930
1471	7478	17925
1472	7483	17919
1473	7488	17913
1474	7493	17907
1475	7498	17902
1476	7502	17896
1477	7507	17890
1478	7513	17885
1479	7517	17879
1480	7522	17873
1481	7526	17867
1482	7531	17861
1483	7536	17855
1484	7541	17849
1485	7546	17845
1486	7550	17838
1487	7555	17833
1488	7561	17828
1489	7565	17822
1490	7571	17818
1491	7576	17813
1492	7581	17808
1493	7586	17803
1494	7591	17797
1495	7596	17791
1496	7600	17786
1497	7605	17779
1498	7610	17774
1499	7615	17768
1500	7619	17763
1501	7624	17757
1502	7630	17752
1503	7634	17746
1504	7639	17740
1505	7644	17735
1506	7648	17729
1507	7653	17723
1508	7658	17718
1509	7663	17712
1510	7668	17706
1511	7672	17700
1512	7677	17694
1513	7682	17688
1514	7686	17681
1515	7691	17677
1516	7696	17670
1517	7700	17664
1518	7706	17660
1519	7711	17654
1520	7715	17647
1521	7720	17642
1522	7725	17636
1523	7729	17630
1524	7734	17624
1525	7739	17619
1526	7744	17613
1527	7748	17607
1528	7753	17601
1529	7758	17595
1530	7762	17589
1531	7767	17583
1532	7772	17578
1533	7777	17572
1534	7781	17566
1535	7786	17561
1536	7791	17555
1537	7796	17549
1538	7800	17543
1539	7806	17538
1540	7811	17533
1541	7816	17528
1542	7821	17523
1543	7827	17519
1544	7832	17514
1545	7838	17512
1546	7844	17508
1547	7850	17505
1548	7855	17502
1549	7861	17497
1550	7866	17493
1551	7872	17490
1552	7877	17485
1553	7884	17483
1554	7889	17478
1555	7894	17474
1556	7901	17471
1557	7906	17467
1558	7911	17462
1559	7917	17460
1560	7923	17456
1561	7929	17452
1562	7935	17450
1563	7941	17445
1564	7946	17441
1565	7952	17439
1566	7958	17434
1567	7964	17432
1568	7970	17429
1569	7976	17427
1570	7995	17451
1571	8001	17449
1572	8007	17445
1573	8013	17441
1574	8019	17440
1575	8025	17437
1576	8032	17434
1577	8037	17429
1578	8042	17424
1579	8047	17420
1580	8052	17414
1581	8057	17408
1582	8062	17403
1583	8067	17398
1584	8072	17393
1585	8078	17389
1586	8083	17383
1587	8087	17377
1588	8092	17371
1589	8097	17366
1590	8102	17360
1591	8107	17355
1592	8112	17350
